N°,ZONA,DISTRITO,PROVINCIA,CANTON,PARROQUIA,TIPO_EDUCACION,AMIE,INSTITUCION,SOSTENIMIENTO,JURISDICCION,REGIMEN,ZONA_INEC,NIVEL_DE_EDUCACION,NRO_NINOS,AUX_ANIO_DOTACION,AUX_T_IE,MD_ANIO_DOTACION,MD_PARALELOS,MD_MONTO_USD,M_ANIO_DOTACION,M_TIPO_DE_AMBIENTE,M_MONTO_USD,JE_ANIO_DOTACION,JE_CANTIDAD,JE_MONTO_USD,AUX_IE_MATERIAL,SAE,REVISION_DNIF,DIMENSIONES,LONGITUD,LATITUD
45,Zona 3,05D05,COTOPAXI,SIGCHOS,SIGCHOS,Ordinario,05H00716,UNIDAD EDUCATIVA DEL MILENIO SIGCHOS,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,58,2027,1,2027,3,8456.22,2027,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.8875213578,-0.703435273461
46,Zona 3,18D04,TUNGURAHUA,SAN PEDRO DE PELILEO,COTALO,Ordinario,18H00518,UNIDAD EDUCATIVA  COTALO,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",38,2027,1,2027,2,5637.48,2027,2,2520,2027.0,1.0,4944.0,ML_Mo_JE,,,600 mt cuadrados ,-78.5116939933,-1.43027646544
47,Zona 3,05D05,COTOPAXI,SIGCHOS,PALO QUEMADO,Ordinario,05H00803,UNIDAD EDUCATIVA JUAN SALINAS,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,10,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.9233517046,-0.374672742112
48,Zona 3,18D01,TUNGURAHUA,AMBATO,AUGUSTO N. MARTINEZ (MUNDUGLEO),Ordinario,18H00186,ESCUELA DE EDUCACION BASICA HECTOR LARA,FISCAL,Intercultural,SIERRA,Rural,Inicial y EGB,23,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,,,,-78.6074974498,-1.13057136805
49,Zona 3,05D01,COTOPAXI,LATACUNGA,IGNACIO FLORES (PARQUE FLORES),Ordinario,05H00855,UNIDAD EDUCATIVA LUIS FERNANDO RUIZ,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,90,2027,1,2027,4,11274.96,2027,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.6048029578,-0.933356412203
50,Zona 3,05D01,COTOPAXI,LATACUNGA,TOACASO,Ordinario,05H00857,UNIDAD EDUCATIVA CORONEL HECTOR ESPINOSA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,17,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.7228811393,-0.748377037563
51,Zona 3,05D04,COTOPAXI,PUJILI,PUJILI,Ordinario,05H00900,UNIDAD EDUCATIVA BELISARIO QUEVEDO,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,145,2027,1,2027,7,19731.18,2027,7,8820,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,98m2,-78.7019831653,-0.957654604233
52,Zona 3,06D01,CHIMBORAZO,RIOBAMBA,LIZARZABURU,Ordinario,06H00013,ESCUELA DE EDUCACION BASICA GRAL JUAN LAVALLE,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB,131,2027,1,2027,6,16912.44,2027,6,7560,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.6787657166,-1.64581944121
53,Zona 3,06D01,CHIMBORAZO,RIOBAMBA,LIZARZABURU,Ordinario,06H00021,ESCUELA DE EDUCACION BASICA SAN FELIPE NERI,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB,91,2027,1,2027,4,11274.96,2027,4,5040,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,96 m2,-78.6692409181,-1.66165999679
54,Zona 3,06D01,CHIMBORAZO,RIOBAMBA,LIZARZABURU,Ordinario,06H00024,UNIDAD EDUCATIVA CAMILO GALLEGOS TOLEDO,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,67,2027,1,2027,3,8456.22,2027,3,3780,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,25 X 10,-78.670313323,-1.65658580081
55,Zona 3,06D01,CHIMBORAZO,RIOBAMBA,LIZARZABURU,Ordinario,06H00044,UNIDAD EDUCATIVA ONCE DE NOVIEMBRE,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,92,2027,1,2027,4,11274.96,2027,4,5040,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,200 METROS,-78.6434386985,-1.66139913429
