zona,distrito,provincia,canton,parroquia,tipo_educacion,amie,institucion,sostenimiento,jurisdiccion,regimen,zona_inec,nivel_educacion,nro_niños_iniciales,aux_año_dotacion,aux_t_ie,md_año_dotacion,md_paralelos,md_monto_usd,m_año_dotacion,m_tipo_ambiente,m_monto_usd,je_año_dotacion,je_cantidad,je_monto_usd,aux_ie_material,latitud,longitud
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01214,ESCUELA DE EDUCACION BASICA FISCAL DR TEODORO ALVARADO OLEA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,50,2026,1,2026,2,5836.52,2026,2,3056.0,0,0,0.0,ML_Mo,-2.160056375,-79.9353324
8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01229,ESCUELA DE EDUCACIÒN BASICA FISCAL FRANCISCO GARCIA AVILES,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,110,2026,1,2026,4,11673.04,2026,4,6112.0,0,0,0.0,ML_Mo,-2.126294934,-79.95291442
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01262,ESCUELA DE EDUCACION BASICA FISCAL CORALIA AGUIRRE DE VILLACRES,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,100,2026,1,2026,4,11673.04,2026,4,6112.0,0,0,0.0,ML_Mo,-2.151010427,-79.93627946
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01264,ESCUELA DE EDUCACION BASICA FISCAL DR ALFREDO PAREJA DIEZCANSECO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,150,2026,1,2026,6,17509.56,2026,6,9168.0,0,0,0.0,ML_Mo,-2.145567023,-79.92390499
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01265,ESCUELA DE EDUCACION BASICA FISCAL DR MANUEL IGNACIO GOMEZ LINCE,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,25,2026,1,2026,1,2918.26,2026,1,1528.0,0,0,0.0,ML_Mo,-2.149268787,-79.93087625
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01272,ESCUELA DE EDUCACION BASICA FISCAL VICENTE RAMON ROCA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,100,2026,1,2026,4,11673.04,2026,4,6112.0,2026,1,5748.0,ML_Mo_JE,-2.146222981,-79.93879598
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01275,ESCUELA DE EDUCACION BASICA FISCAL ROSA ELENA VICUÑA MUÑOZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,50,2026,1,2026,2,5836.52,2026,2,3056.0,0,0,0.0,ML_Mo,-2.144265053,-79.92987908
8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01283,CENTRO DE EDUCACION INICIAL  FISCAL LUIS ALFREDO MARTINEZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,126,2026,1,2026,5,14591.3,2026,5,7640.0,2026,1,5748.0,ML_Mo_JE,-2.115050284,-80.00826613
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01294,ESCUELA DE EDUCACION BASICA FISCAL DIEGO DE NOBOA Y ARTETA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,51,2026,1,2026,2,5836.52,2026,2,3056.0,0,0,0.0,ML_Mo,-2.145833018,-79.92936601
8,09D05,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01324,ESCUELA DE EDUCACION BASICA FISCAL JOSE MIGUEL GARCIA MORENO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,25,2026,1,2026,1,2918.26,2026,1,1528.0,0,0,0.0,ML_Mo,-2.122755417,-79.89182366
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01334,ESCUELA DE EDUCACION BASICA FISCAL JOSE MENDOZA CUCALON,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,25,2026,1,2026,1,2918.26,2026,1,1528.0,0,0,0.0,ML_Mo,-2.144131789,-79.92997556
8,09D05,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01344,ESCUELA DE EDUCACIÓN BÁSICA FISCAL DON RUPERTO ARTETA MONTES,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,50,2026,1,2026,2,5836.52,2026,2,3056.0,0,0,0.0,ML_Mo,-2.129175995,-79.90301291
